Date,Open,High,Low,Close,Adj Close,Volume
10/26/2018,24770.25,24916.16016,24445.18945,24688.31055,24688.31055,505310000
10/29/2018,24818.98047,25040.58008,24122.23047,24442.91992,24442.91992,443850000
10/30/2018,24482.03906,24906.67969,24415.68945,24874.64063,24874.64063,470050000
10/31/2018,25008.82031,25336.55078,25008.82031,25115.75977,25115.75977,448930000
11/1/2018,25142.08008,25396.4707,25108.10938,25380.74023,25380.74023,383970000
11/2/2018,25443.59961,25578.98047,25078.7207,25270.83008,25270.83008,429480000
11/5/2018,25261.4707,25507.34961,25261.4707,25461.69922,25461.69922,334740000
11/6/2018,25452.83008,25651.85938,25444.90039,25635.00977,25635.00977,265450000
11/7/2018,25788.46094,26200.14063,25765.88086,26180.30078,26180.30078,361780000
11/8/2018,26139.58984,26277.82031,26081.90039,26191.2207,26191.2207,295650000
11/9/2018,26149.10938,26161.49023,25882.91016,25989.30078,25989.30078,324450000
11/12/2018,25959.33008,25966.71094,25340.50977,25387.17969,25387.17969,346910000
11/13/2018,25321.21094,25511.0293,25193.7793,25286.49023,25286.49023,339690000
11/14/2018,25388.08008,25501.28906,24935.82031,25080.5,25080.5,384240000
11/15/2018,25061.48047,25354.56055,24787.78906,25289.26953,25289.26953,392750000
11/16/2018,25242.34961,25510.23047,25147.80078,25413.2207,25413.2207,354460000
11/19/2018,25392.60938,25392.60938,24900.98047,25017.43945,25017.43945,358090000
11/20/2018,24618.67969,24707.25977,24368.98047,24465.64063,24465.64063,445920000
11/21/2018,24541.65039,24669.78906,24463.2793,24464.68945,24464.68945,289370000
11/23/2018,24336.40039,24408.80078,24268.74023,24285.94922,24285.94922,155940000
11/26/2018,24364.13086,24673.28906,24364.13086,24640.24023,24640.24023,306276154
